# n_subhalo mass[Msun] radius[Mpc] sigma_p sigma_3D cm_vel_offset[km/s] dot_vel
984 6.928353e+12 0.391790 180.323135 360.155631 33.818428 0.999110
2178 1.044397e+13 0.449213 203.813232 360.233292 9.411508 0.998403
1470 9.199659e+12 0.430621 223.191971 371.452122 4.948932 0.999886
999 6.864430e+12 0.390576 162.874313 317.496586 3.369386 0.999960
963 5.022124e+12 0.351944 172.895798 296.373835 11.141252 0.998785
1224 8.800678e+12 0.424313 262.435791 385.443553 26.805607 0.987947
684 5.860446e+12 0.370520 154.367538 299.618656 15.096679 0.999917
3549 2.779760e+13 0.622561 297.905121 515.332426 5.756433 0.999662
396 4.886531e+12 0.348735 163.573380 284.616424 0.831699 0.999999
20088 1.278202e+14 1.035248 524.495667 831.369748 1.936263 0.999905
903 2.924582e+12 0.293892 162.567780 251.002653 32.006126 0.961646
918 3.560660e+12 0.313824 200.390778 320.091840 39.487839 0.986808
40479 2.228717e+14 1.246021 676.759827 1138.286609 49.040165 0.957644
21213 4.395390e+13 0.725264 384.077637 657.270667 21.440069 0.998666
750 3.015490e+12 0.296910 146.618423 262.608996 21.145544 0.995517
657 3.702679e+12 0.317939 159.920502 262.298046 3.408448 0.999814
1752 1.475855e+13 0.504115 231.757065 403.723374 15.876663 0.999763
2241 1.405919e+13 0.496003 225.226395 417.308932 4.591090 0.999875
1074 8.079526e+12 0.412370 211.405548 344.495942 2.398497 0.999949
1647 9.416378e+12 0.433977 178.087357 347.075530 1.314341 0.999991
987 7.723222e+12 0.406241 181.538528 334.030593 26.815102 0.996065
756 9.047917e+12 0.428243 188.618683 346.079331 0.195368 1.000000
4218 2.417509e+13 0.594234 289.913300 497.375578 14.449877 0.999464
5241 1.648125e+13 0.522990 231.022324 450.021478 25.296135 0.995868
909 7.416411e+12 0.400776 221.386093 351.954321 0.385130 0.999997
498 4.984205e+12 0.351048 148.694458 266.397549 0.617344 0.999999
663 4.634875e+12 0.342646 179.325409 299.434326 3.189450 0.999905
960 6.216314e+12 0.377868 178.359955 309.605198 4.083180 0.999916
2376 6.889189e+12 0.391041 172.247787 338.619561 21.312353 0.998185
633 4.714881e+12 0.344604 151.358475 275.685889 3.177117 0.999900
966 6.714027e+12 0.387710 182.709137 323.108086 2.266068 0.999997
564 4.479720e+12 0.338785 151.672379 273.957238 2.680800 1.000000
2220 1.660100e+13 0.524260 242.911301 433.644843 2.238065 0.999833
4218 2.417509e+13 0.594234 289.913300 497.375578 14.449877 0.999464
807 4.859344e+12 0.348097 144.754623 285.654119 9.916637 0.999720
537 4.330927e+12 0.334992 162.038177 275.889460 1.851916 0.999624
429 3.713035e+12 0.318227 131.184998 240.501917 4.486728 0.999945
468 1.469493e+12 0.233641 118.586769 215.274200 10.891892 0.999099
903 4.087645e+12 0.328599 187.190063 308.316820 20.175594 0.999651
804 5.374403e+12 0.359975 200.315460 321.888158 35.604744 0.986416
750 3.015490e+12 0.296910 146.618423 262.608996 21.145544 0.995517
678 3.229468e+12 0.303772 131.291077 261.098047 8.122322 0.999796
915 4.037082e+12 0.327231 143.273956 273.347673 1.923458 0.999960
981 8.811001e+12 0.424478 220.348877 347.717166 0.714170 0.999996
1221 9.144781e+12 0.429759 214.694778 356.156036 1.860301 0.999998
17304 2.863349e+13 0.628732 337.149597 624.435632 79.231918 0.995947
387 4.746314e+12 0.345368 163.422913 285.915075 1.327880 0.999997
567 6.605009e+12 0.385583 200.239471 323.613090 0.997317 0.999997
1023 9.804661e+12 0.439867 206.941071 355.181314 2.960139 0.999973
1092 5.935073e+12 0.372088 192.067520 303.961446 4.362185 0.998501
915 4.037082e+12 0.327231 143.273956 273.347673 1.923458 0.999960
840 7.310964e+12 0.398861 213.048019 363.601155 5.368200 0.999966
1005 1.075683e+13 0.453663 227.041870 392.508625 0.926375 0.999998
672 3.617628e+12 0.315486 152.276733 261.924954 2.496853 0.999982
2850 2.234292e+13 0.578813 286.270386 491.981308 1.185245 0.999995
1266 5.519255e+12 0.363188 157.547882 317.242443 22.124022 0.989891
987 7.723222e+12 0.406241 181.538528 334.030593 26.815102 0.996065
777 4.138223e+12 0.329948 171.132614 290.625886 15.322807 0.999543
642 5.544719e+12 0.363758 145.693726 278.011371 0.407098 0.999996
2898 7.910787e+12 0.409486 211.291168 383.161093 12.771079 0.999533
810 8.088232e+12 0.412523 195.972839 340.248827 3.131484 0.999794
486 4.574194e+12 0.341150 157.409988 282.081653 1.231377 0.999997
1224 8.800678e+12 0.424313 262.435791 385.443553 26.805607 0.987947
1920 1.204400e+13 0.471079 210.464386 395.722972 14.849373 0.999416
627 3.804157e+12 0.320817 147.898682 256.731207 1.576201 0.999991
4638 3.212164e+13 0.653285 320.833832 535.164128 63.754730 0.973282
1074 8.079526e+12 0.412370 211.405548 344.495942 2.398497 0.999949
669 4.635446e+12 0.342664 165.124222 275.925424 7.179759 0.999671
1515 8.635891e+12 0.421632 182.843460 357.181239 10.301619 0.999706
2262 1.530419e+13 0.510242 245.461136 415.464035 7.781585 0.999522
849 8.480036e+12 0.419076 196.801392 341.148293 0.727614 0.999998
1122 2.388156e+12 0.274703 171.552399 274.539873 9.148042 0.999966
7713 2.695651e+13 0.616202 277.558105 487.313813 27.259703 0.996738
864 4.108556e+12 0.329159 200.723892 340.658713 66.860794 0.996150
6300 2.611258e+13 0.609715 284.721252 539.020175 75.262856 0.943505
1581 9.117100e+12 0.429321 223.905273 361.598251 4.286961 0.999944
5931 4.167363e+13 0.712520 309.567230 588.525422 10.155176 0.998989
2577 8.968097e+12 0.426983 232.945999 368.566767 9.074167 0.999767
3603 1.058227e+13 0.451194 217.550140 408.323522 54.514629 0.985896
381 3.995722e+12 0.326112 128.541458 275.841180 11.180838 0.999333
522 4.694855e+12 0.344126 158.831894 284.601785 1.376077 0.999996
819 3.587249e+12 0.314598 207.645386 314.013817 15.797296 0.999436
40479 2.228717e+14 1.246021 676.759827 1138.286609 49.040165 0.957644
933 2.597527e+12 0.282499 142.984009 259.666730 6.570941 0.999994
684 7.704672e+12 0.405901 251.286545 364.529673 4.802596 0.999941
480 5.468132e+12 0.362049 176.791519 292.931802 0.461406 1.000000
864 5.952622e+12 0.372453 178.121796 303.442927 8.519424 0.999507
564 4.479720e+12 0.338785 151.672379 273.957238 2.680800 1.000000
1542 9.611066e+12 0.436945 217.446930 366.611068 7.706838 0.993769
1368 1.239120e+13 0.475546 230.465683 412.908406 13.230863 0.999022
2802 1.898544e+13 0.548245 253.578659 492.685187 64.829346 0.993543
960 6.216314e+12 0.377868 178.359955 309.605198 4.083180 0.999916
1101 4.124669e+12 0.329590 169.736786 302.996133 32.940678 0.997265
225 4.584776e+12 0.341414 196.459015 349.729425 11.737414 0.999928
2802 1.898544e+13 0.548245 253.578659 492.685187 64.829346 0.993543
3171 1.529134e+13 0.510101 243.547577 438.362324 6.230871 0.998180
2376 6.889189e+12 0.391041 172.247787 338.619561 21.312353 0.998185
2658 1.266114e+13 0.478998 236.540421 399.620214 2.648604 0.999882
915 4.037082e+12 0.327231 143.273956 273.347673 1.923458 0.999960
1020 9.752208e+12 0.439082 221.703522 375.128837 13.185462 0.999771
900 8.214495e+12 0.414661 186.123032 340.171213 1.155653 0.999997
2241 1.405919e+13 0.496003 225.226395 417.308932 4.591090 0.999875
1161 1.260284e+13 0.478243 244.755096 389.591980 0.139890 1.000000
2658 1.266114e+13 0.478998 236.540421 399.620214 2.648604 0.999882
852 6.092903e+12 0.375355 166.534332 305.150860 1.855525 0.999986
