# d_radial[Mpc] v_radial[km/s] ra deg MAG_B MAG_K
50121.226562 3444.150635 274.453888 -33.714268 -20.165274 -23.656336
50565.195312 3434.486816 274.696045 -33.349197 -19.592901 -23.097525
49595.707031 2692.746582 272.326904 -33.767258 -21.572012 -24.145544
49596.617188 3065.859619 273.401947 -31.671783 -19.892258 -22.994547
47914.949219 3365.583008 273.609131 -33.293324 -18.821815 -22.349762
49631.503906 3170.124756 272.837891 -33.958065 -19.589277 -23.264925
49270.597656 3394.717285 271.878662 -32.301498 -19.342066 -21.938154
48880.820312 3037.219238 273.430420 -32.155033 -19.653028 -22.029806
49516.230469 2803.547852 272.302643 -34.208748 -19.196136 -22.497578
48660.105469 3435.750244 273.372437 -31.308445 -18.656099 -22.207268
50298.230469 2695.811523 273.117554 -32.646450 -18.563211 -21.954517
49001.238281 2736.975586 273.816040 -33.732944 -19.574760 -22.328384
49258.761719 3167.883057 272.689606 -33.456226 -19.114174 -23.144169
50307.367188 2915.295410 273.434204 -32.484440 -18.578218 -21.502865
48280.183594 3175.544678 273.782257 -32.444839 -18.536741 -22.237677
49707.324219 3426.690186 271.320923 -32.935574 -18.477739 -21.516207
49727.523438 3028.594238 272.497192 -32.639347 -18.503138 -21.542858
49386.359375 2234.784668 272.295197 -33.599918 -18.618752 -22.150267
48668.730469 2822.857910 273.307648 -32.397232 -18.943542 -21.269163
49470.410156 2763.346680 272.376129 -33.528244 -18.628716 -21.696594
49000.675781 2677.508545 273.173462 -32.801334 -18.798046 -21.101692
49181.644531 3224.994873 272.682556 -33.485828 -17.708475 -21.461708
49249.273438 3465.316650 271.595062 -30.812109 -17.953785 -21.001022
49950.234375 3362.179199 271.976013 -32.717976 -17.943649 -21.137980
49864.613281 3484.414307 271.463440 -33.715076 -17.930534 -21.614775
49510.042969 3343.133789 272.036255 -33.473915 -17.623699 -21.140444
49649.148438 2642.433594 271.634003 -34.026463 -17.485731 -21.199160
30958.167969 1829.260254 267.157104 23.304079 -23.381241 -27.256739
31084.625000 1990.911377 261.980133 22.464552 -23.077374 -26.958931
31462.804688 2188.741699 255.671127 21.796696 -22.991562 -26.837591
32137.679688 2314.401855 260.110809 21.678377 -22.603449 -26.507839
31642.037109 2633.652588 253.385910 21.079622 -20.257401 -24.045336
31661.404297 2560.633057 258.582977 24.184004 -21.130035 -24.653046
32666.251953 2353.161865 254.726868 21.963844 -21.007900 -24.819866
30429.574219 2094.321777 263.917419 21.459463 -21.716345 -24.647448
32690.806641 2232.250244 260.166016 21.986235 -21.462843 -24.951023
32415.792969 2291.460205 252.455368 23.041376 -20.785044 -23.957758
30461.710938 2188.916016 255.056839 20.474585 -20.486717 -24.399410
30992.839844 1694.132568 264.445831 23.335306 -20.667744 -24.506098
32407.404297 2653.656250 260.439545 21.489195 -20.236866 -24.203590
31054.648438 1748.890137 265.857391 22.877472 -20.594185 -24.575188
32013.902344 2795.766602 258.649689 23.880171 -21.391853 -24.597197
30352.632812 2463.675537 267.065674 22.896603 -20.830605 -24.231955
31138.189453 2045.027588 268.057587 23.496143 -20.161041 -24.031927
30740.517578 1462.865723 264.854218 23.259470 -20.479500 -24.107336
31999.009766 2188.113281 253.805557 22.138220 -20.768356 -24.183321
32392.585938 2037.577026 253.132858 22.473139 -20.699316 -24.229443
31034.119141 2124.358887 266.455170 22.564875 -20.590588 -24.212257
31292.525391 2440.670410 255.767700 21.667742 -21.331564 -24.750233
31346.123047 1611.504272 267.479797 22.116056 -20.037159 -23.916012
31311.623047 1475.353516 266.993042 25.453007 -20.633373 -23.956089
33128.308594 2551.216797 253.937973 21.771971 -20.531839 -23.204815
31082.632812 1672.946777 263.781525 21.199356 -19.315895 -22.974939
32367.687500 2191.482666 258.600372 21.820070 -20.192421 -22.855759
31161.058594 1635.141846 268.297943 23.301325 -20.037653 -23.901096
30798.173828 2128.672607 268.809509 22.264763 -20.422337 -23.378180
30922.433594 2632.877930 260.600067 23.450621 -20.204880 -23.104765
31214.982422 2341.253906 260.363739 22.896029 -20.485016 -23.616341
32880.421875 2247.797852 261.753448 22.349108 -19.709286 -22.997765
31545.283203 2100.658447 255.440643 23.426523 -20.014179 -23.063145
32633.398438 2170.804443 252.400604 23.866640 -19.556263 -22.616816
30949.398438 2340.753906 255.115723 21.850019 -19.935312 -23.143568
31734.294922 2039.586670 262.844177 21.423672 -19.460194 -22.591330
30682.062500 2170.626465 256.891937 20.709446 -19.647696 -22.889771
31152.718750 2153.053711 264.577148 23.831423 -19.476526 -23.078289
32528.724609 1858.158936 253.146362 20.894182 -18.899233 -22.075052
31170.496094 2145.048828 265.191437 24.590448 -19.817940 -22.812311
32184.099609 2295.347656 258.059601 21.943771 -19.743713 -22.489103
30755.814453 1492.297119 267.992676 23.134880 -19.252945 -23.054842
30656.205078 2111.600342 265.460266 21.859118 -19.802956 -22.535118
31028.281250 1703.870117 264.764679 23.386936 -19.020929 -22.605350
31100.679688 1920.562988 260.390533 22.254353 -18.685888 -22.131147
31189.248047 1519.455322 261.509949 23.112082 -19.317106 -22.692238
32943.222656 2423.525879 253.083435 21.770372 -19.333305 -22.167532
31397.257812 2334.656738 258.687500 23.951921 -19.602346 -22.244141
31826.222656 2325.841064 260.404022 21.876699 -19.441877 -23.242773
31499.439453 2048.503906 255.677032 21.877314 -18.983093 -22.996052
31478.164062 2205.094238 258.836334 22.292780 -19.042599 -22.094509
30861.095703 1859.234009 265.286346 24.135954 -18.310541 -21.821144
32672.968750 2395.441650 252.538940 22.859180 -18.955954 -21.892233
30767.796875 1989.595093 263.812561 23.028822 -19.124773 -22.868950
30780.712891 1896.814941 263.574890 22.910583 -19.499247 -22.678492
