 log10_L ,        log10_M
 8.36800 ,  9256798.58266
 8.36900 ,  9257351.67313
 8.37000 ,  9257904.73055
 8.37100 ,  9258457.75494
 8.37200 ,  9259010.74629
 8.37300 ,  9259563.70462
 8.37400 ,  9260116.62993
 8.37500 ,  9260669.52223
 8.37600 ,  9261222.38152
 8.37700 ,  9261775.20781
 8.37800 ,  9262328.00110
 8.37900 ,  9262880.76140
 8.38000 ,  9263433.48872
 8.38100 ,  9263986.18306
 8.38200 ,  9264538.84443
 8.38300 ,  9265091.47283
 8.38400 ,  9265644.06828
 8.38500 ,  9266196.63076
 8.38600 ,  9266749.16030
 8.38700 ,  9267301.65690
 8.38800 ,  9267854.12056
 8.38900 ,  9268406.55129
 8.39000 ,  9268958.94909
 8.39100 ,  9269511.31398
 8.39200 ,  9270063.64595
 8.39300 ,  9270615.94502
 8.39400 ,  9271168.21118
 8.39500 ,  9271720.44445
 8.39600 ,  9272272.64483
 8.39700 ,  9272824.81232
 8.39800 ,  9273376.94694
 8.39900 ,  9273929.04868
 8.40000 ,  9274481.11756
 8.40100 ,  9275033.15358
 8.40200 ,  9275585.15674
 8.40300 ,  9276137.12706
 8.40400 ,  9276689.06453
 8.40500 ,  9277240.96917
 8.40600 ,  9277792.84097
 8.40700 ,  9278344.67995
 8.40800 ,  9278896.48611
 8.40900 ,  9279448.25946
 8.41000 ,  9280000.00000
 8.41100 ,  9280551.70774
 8.41200 ,  9281103.38268
 8.41300 ,  9281655.02483
 8.41400 ,  9282206.63420
 8.41500 ,  9282758.21079
 8.41600 ,  9283309.75461
 8.41700 ,  9283861.26566
 8.41800 ,  9284412.74395
 8.41900 ,  9284964.18948
 8.42000 ,  9285515.60227
 8.42100 ,  9286066.98231
 8.42200 ,  9286618.32962
 8.42300 ,  9287169.64419
 8.42400 ,  9287720.92604
 8.42500 ,  9288272.17517
 8.42600 ,  9288823.39158
 8.42700 ,  9289374.57529
 8.42800 ,  9289925.72629
 8.42900 ,  9290476.84460
 8.43000 ,  9291027.93021
 8.43100 ,  9291578.98314
 8.43200 ,  9292130.00340
 8.43300 ,  9292680.99097
 8.43400 ,  9293231.94588
 8.43500 ,  9293782.86813
 8.43600 ,  9294333.75773
 8.43700 ,  9294884.61467
 8.43800 ,  9295435.43897
 8.43900 ,  9295986.23063
 8.44000 ,  9296536.98965
 8.44100 ,  9297087.71605
 8.44200 ,  9297638.40983
 8.44300 ,  9298189.07100
 8.44400 ,  9298739.69955
 8.44500 ,  9299290.29550
 8.44600 ,  9299840.85885
 8.44700 ,  9300391.38961
 8.44800 ,  9300941.88779
 8.44900 ,  9301492.35338
 8.45000 ,  9302042.78640
 8.45100 ,  9302593.18685
 8.45200 ,  9303143.55473
 8.45300 ,  9303693.89006
 8.45400 ,  9304244.19284
 8.45500 ,  9304794.46307
 8.45600 ,  9305344.70076
 8.45700 ,  9305894.90592
 8.45800 ,  9306445.07855
 8.45900 ,  9306995.21865
 8.46000 ,  9307545.32624
 8.46100 ,  9308095.40132
 8.46200 ,  9308645.44389
 8.46300 ,  9309195.45396
 8.46400 ,  9309745.43154
 8.46500 ,  9310295.37662
 8.46600 ,  9310845.28923
 8.46700 ,  9311395.16936
 8.46800 ,  9311945.01702
 8.46900 ,  9312494.83221
 8.47000 ,  9313044.61495
 8.47100 ,  9313594.36523
 8.47200 ,  9314144.08306
 8.47300 ,  9314693.76845
 8.47400 ,  9315243.42140
 8.47500 ,  9315793.04193
 8.47600 ,  9316342.63002
 8.47700 ,  9316892.18570
 8.47800 ,  9317441.70897
 8.47900 ,  9317991.19982
 8.48000 ,  9318540.65828
 8.48100 ,  9319090.08434
 8.48200 ,  9319639.47801
 8.48300 ,  9320188.83929
 8.48400 ,  9320738.16819
 8.48500 ,  9321287.46472
 8.48600 ,  9321836.72889
 8.48700 ,  9322385.96069
 8.48800 ,  9322935.16013
 8.48900 ,  9323484.32722
 8.49000 ,  9324033.46197
 8.49100 ,  9324582.56438
 8.49200 ,  9325131.63446
 8.49300 ,  9325680.67221
 8.49400 ,  9326229.67763
 8.49500 ,  9326778.65075
 8.49600 ,  9327327.59155
 8.49700 ,  9327876.50004
 8.49800 ,  9328425.37624
 8.49900 ,  9328974.22014
 8.50000 ,  9329523.03175
 8.50100 ,  9330071.81108
 8.50200 ,  9330620.55814
 8.50300 ,  9331169.27293
 8.50400 ,  9331717.95545
 8.50500 ,  9332266.60571
 8.50600 ,  9332815.22371
 8.50700 ,  9333363.80947
 8.50800 ,  9333912.36299
 8.50900 ,  9334460.88427
 8.51000 ,  9335009.37332
 8.51100 ,  9335557.83015
 8.51200 ,  9336106.25475
 8.51300 ,  9336654.64714
 8.51400 ,  9337203.00732
 8.51500 ,  9337751.33531
 8.51600 ,  9338299.63109
 8.51700 ,  9338847.89468
 8.51800 ,  9339396.12609
 8.51900 ,  9339944.32532
 8.52000 ,  9340492.49237
 8.52100 ,  9341040.62725
 8.52200 ,  9341588.72998
 8.52300 ,  9342136.80054
 8.52400 ,  9342684.83895
 8.52500 ,  9343232.84522
 8.52600 ,  9343780.81935
 8.52700 ,  9344328.76134
 8.52800 ,  9344876.67120
 8.52900 ,  9345424.54894
 8.53000 ,  9345972.39457
 8.53100 ,  9346520.20808
 8.53200 ,  9347067.98948
 8.53300 ,  9347615.73879
 8.53400 ,  9348163.45599
 8.53500 ,  9348711.14111
 8.53600 ,  9349258.79415
 8.53700 ,  9349806.41511
 8.53800 ,  9350354.00399
 8.53900 ,  9350901.56081
 8.54000 ,  9351449.08557
 8.54100 ,  9351996.57827
 8.54200 ,  9352544.03892
 8.54300 ,  9353091.46753
 8.54400 ,  9353638.86410
 8.54500 ,  9354186.22864
 8.54600 ,  9354733.56114
 8.54700 ,  9355280.86163
 8.54800 ,  9355828.13010
 8.54900 ,  9356375.36656
 8.55000 ,  9356922.57102
 8.55100 ,  9357469.74347
 8.55200 ,  9358016.88393
 8.55300 ,  9358563.99241
 8.55400 ,  9359111.06890
 8.55500 ,  9359658.11341
 8.55600 ,  9360205.12596
 8.55700 ,  9360752.10653
 8.55800 ,  9361299.05515
 8.55900 ,  9361845.97182
 8.56000 ,  9362392.85653
 8.56100 ,  9362939.70930
 8.56200 ,  9363486.53013
 8.56300 ,  9364033.31903
 8.56400 ,  9364580.07601
 8.56500 ,  9365126.80106
 8.56600 ,  9365673.49420
 8.56700 ,  9366220.15543
 8.56800 ,  9366766.78476
 8.56900 ,  9367313.38218
 8.57000 ,  9367859.94771
 8.57100 ,  9368406.48136
 8.57200 ,  9368952.98312
 8.57300 ,  9369499.45301
 8.57400 ,  9370045.89103
 8.57500 ,  9370592.29718
 8.57600 ,  9371138.67147
 8.57700 ,  9371685.01391
 8.57800 ,  9372231.32450
 8.57900 ,  9372777.60325
 8.58000 ,  9373323.85016
 8.58100 ,  9373870.06524
 8.58200 ,  9374416.24849
 8.58300 ,  9374962.39992
 8.58400 ,  9375508.51954
 8.58500 ,  9376054.60735
 8.58600 ,  9376600.66335
 8.58700 ,  9377146.68756
 8.58800 ,  9377692.67997
 8.58900 ,  9378238.64060
 8.59000 ,  9378784.56944
 8.59100 ,  9379330.46651
 8.59200 ,  9379876.33181
 8.59300 ,  9380422.16534
 8.59400 ,  9380967.96711
 8.59500 ,  9381513.73713
 8.59600 ,  9382059.47540
 8.59700 ,  9382605.18193
 8.59800 ,  9383150.85672
